Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Sun Mar 15 13:07:21 GMT 2015,26000,13.913041,132014080,8589934592,8457920512
Sun Mar 15 13:07:23 GMT 2015,26000,23.880594,131178496,8589934592,8458756096
Sun Mar 15 13:07:25 GMT 2015,26000,7.835823,130449408,8589934592,8459485184
Sun Mar 15 13:07:27 GMT 2015,26000,9.7135725,129908736,8589934592,8460025856
Sun Mar 15 13:07:29 GMT 2015,26000,11.194033,129581056,8589934592,8460353536
Sun Mar 15 13:07:31 GMT 2015,26000,5.962735,129908736,8589934592,8460025856
Sun Mar 15 13:07:33 GMT 2015,26000,13.043481,128622592,8589934592,8461312000
Sun Mar 15 13:07:35 GMT 2015,26000,4.466504,128950272,8589934592,8460984320
Sun Mar 15 13:07:37 GMT 2015,26000,5.8385077,129142784,8589934592,8460791808
Sun Mar 15 13:07:39 GMT 2015,26000,6.7164183,129523712,8589934592,8460410880
Sun Mar 15 13:07:41 GMT 2015,26000,11.194033,126656512,8589934592,8463278080
Sun Mar 15 13:07:43 GMT 2015,26000,11.111111,78639104,8589934592,8511295488
Sun Mar 15 13:07:45 GMT 2015,26000,4.820764,76914688,8589934592,8513019904
Sun Mar 15 13:07:47 GMT 2015,26000,5.074257,82804736,8589934592,8507129856
Sun Mar 15 13:07:50 GMT 2015,26000,3.4739435,82116608,8589934592,8507817984
Sun Mar 15 13:07:52 GMT 2015,26000,4.089218,83537920,8589934592,8506396672
Sun Mar 15 13:07:54 GMT 2015,26000,3.9702237,84889600,8589934592,8505044992
Sun Mar 15 13:07:56 GMT 2015,26000,4.089218,84074496,8589934592,8505860096
Sun Mar 15 13:07:58 GMT 2015,26000,4.7146378,82964480,8589934592,8506970112
Sun Mar 15 13:08:00 GMT 2015,26000,10.186333,653459456,8589934592,7936475136
Sun Mar 15 13:08:02 GMT 2015,26000,16.109043,652926976,8589934592,7937007616
Sun Mar 15 14:01:53 GMT 2015,26000,50.60129,592318464,8589934592,7997616128
Sun Mar 15 14:01:55 GMT 2015,26000,14.856428,566587392,8589934592,8023347200
Sun Mar 15 14:01:57 GMT 2015,26000,22.91407,157044736,8589934592,8432889856
Sun Mar 15 14:01:59 GMT 2015,26000,15.1930275,158760960,8589934592,8431173632
Sun Mar 15 14:02:01 GMT 2015,26000,23.910337,143155200,8589934592,8446779392
Sun Mar 15 14:02:03 GMT 2015,26000,23.048328,140472320,8589934592,8449462272
Sun Mar 15 14:02:05 GMT 2015,26000,11.097259,140455936,8589934592,8449478656
Sun Mar 15 14:02:07 GMT 2015,26000,10.074627,139005952,8589934592,8450928640
Sun Mar 15 14:02:09 GMT 2015,26000,9.417593,138207232,8589934592,8451727360
Sun Mar 15 14:02:11 GMT 2015,26000,9.553349,136585216,8589934592,8453349376
Sun Mar 15 14:02:13 GMT 2015,26000,10.2372055,132284416,8589934592,8457650176
Sun Mar 15 14:02:15 GMT 2015,26000,8.064514,131887104,8589934592,8458047488
Sun Mar 15 14:02:17 GMT 2015,26000,10.31056,124424192,8589934592,8465510400
Sun Mar 15 14:02:19 GMT 2015,26000,9.057075,119746560,8589934592,8470188032
Sun Mar 15 14:02:21 GMT 2015,26000,6.351185,121729024,8589934592,8468205568
Sun Mar 15 14:02:23 GMT 2015,26000,28.660048,132374528,8589934592,8457560064
Sun Mar 15 14:02:25 GMT 2015,26000,15.068495,132026368,8589934592,8457908224
Sun Mar 15 14:02:27 GMT 2015,26000,10.186333,131604480,8589934592,8458330112
Sun Mar 15 14:02:30 GMT 2015,26000,18.509315,126402560,8589934592,8463532032
Sun Mar 15 14:02:32 GMT 2015,26000,13.167704,126488576,8589934592,8463446016
Sun Mar 15 14:02:34 GMT 2015,26000,7.213932,126119936,8589934592,8463814656
Sun Mar 15 14:02:36 GMT 2015,26000,18.012423,128249856,8589934592,8461684736
Sun Mar 15 14:02:38 GMT 2015,26000,10.683232,127287296,8589934592,8462647296
Sun Mar 15 14:02:40 GMT 2015,26000,11.801243,127070208,8589934592,8462864384
Sun Mar 15 14:02:42 GMT 2015,26000,14.713216,126767104,8589934592,8463167488
Sun Mar 15 14:02:44 GMT 2015,26000,16.377169,128073728,8589934592,8461860864
Sun Mar 15 14:02:46 GMT 2015,26000,10.037172,128356352,8589934592,8461578240
Sun Mar 15 14:02:48 GMT 2015,26000,7.835823,131612672,8589934592,8458321920
