Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 17:56:25 GMT 2015,26000,4.104477,2632597504,8589934592,5957337088
Thu Mar 05 17:56:27 GMT 2015,26000,4.099381,2631954432,8589934592,5957980160
Thu Mar 05 17:56:29 GMT 2015,26000,3.8701594,2633412608,8589934592,5956521984
Thu Mar 05 17:56:31 GMT 2015,26000,3.975153,2632769536,8589934592,5957165056
Thu Mar 05 17:56:33 GMT 2015,26000,4.104477,2633179136,8589934592,5956755456
Thu Mar 05 17:56:35 GMT 2015,26000,4.228854,2631581696,8589934592,5958352896
Thu Mar 05 17:56:37 GMT 2015,26000,3.7174702,2631999488,8589934592,5957935104
Thu Mar 05 17:56:39 GMT 2015,26000,3.9702237,2632388608,8589934592,5957545984
Thu Mar 05 17:56:41 GMT 2015,26000,3.9900243,2633207808,8589934592,5956726784
Thu Mar 05 17:56:43 GMT 2015,26000,3.9801002,2632368128,8589934592,5957566464
Thu Mar 05 17:56:46 GMT 2015,26000,4.099381,2631761920,8589934592,5958172672
Thu Mar 05 17:56:48 GMT 2015,26000,4.6077194,2634100736,8589934592,5955833856
Thu Mar 05 17:56:50 GMT 2015,26000,3.9801002,2633461760,8589934592,5956472832
Thu Mar 05 17:56:52 GMT 2015,26000,4.104477,2632859648,8589934592,5957074944
Thu Mar 05 17:56:54 GMT 2015,26000,4.2236032,2633273344,8589934592,5956661248
Thu Mar 05 17:56:56 GMT 2015,26000,3.9702237,2634956800,8589934592,5954977792
Thu Mar 05 17:56:58 GMT 2015,26000,3.8653374,2633281536,8589934592,5956653056
Thu Mar 05 17:57:00 GMT 2015,26000,5.7001233,2633703424,8589934592,5956231168
Thu Mar 05 17:57:02 GMT 2015,26000,11.552793,2631245824,8589934592,5958688768
Thu Mar 05 17:57:04 GMT 2015,26000,4.228854,2631254016,8589934592,5958680576
Thu Mar 05 17:57:06 GMT 2015,26000,4.104477,2631680000,8589934592,5958254592
Thu Mar 05 17:57:08 GMT 2015,26000,4.099381,2632138752,8589934592,5957795840
Thu Mar 05 17:57:10 GMT 2015,26000,3.4869254,2631655424,8589934592,5958279168
Thu Mar 05 17:57:12 GMT 2015,26000,4.7146378,2633183232,8589934592,5956751360
Thu Mar 05 17:57:14 GMT 2015,26000,4.099381,2632540160,8589934592,5957394432
Thu Mar 05 17:57:16 GMT 2015,26000,3.975153,2632982528,8589934592,5956952064
Thu Mar 05 17:57:18 GMT 2015,26000,4.844719,2632601600,8589934592,5957332992
Thu Mar 05 17:57:20 GMT 2015,26000,3.9801002,2633011200,8589934592,5956923392
Thu Mar 05 17:57:22 GMT 2015,26000,3.726709,2633453568,8589934592,5956481024
Thu Mar 05 17:57:24 GMT 2015,26000,4.234123,2632814592,8589934592,5957120000
Thu Mar 05 17:57:26 GMT 2015,26000,4.3370485,2631311360,8589934592,5958623232
Thu Mar 05 17:57:28 GMT 2015,26000,3.6249995,2631864320,8589934592,5958070272
